daytime,TA_0_0_1,TS_0_0_1,TS_0_0_2,TW_0_0_1,air_temperature,qc_co2_flux,co2_flux,wind_dir
13/11/2015 2:30,-54.26071814,25.62430667,30.00481,30.04082,301.3237926,1,0.425024512,175.1764848
13/11/2015 3:00,-54.25390441,25.47628667,29.97578,30.01740333,301.1681418,1,-0.067365951,188.2897827
13/11/2015 3:30,-56.32028186,25.17621333,29.96068,29.99463,300.8454379,1,0.085381331,175.3074541
13/11/2015 4:00,-57.32449755,25.09848,29.93988667,29.97571667,300.7415936,1,0.101230492,165.592224
13/11/2015 4:30,-57.4997402,25.01496,29.92597,29.96048333,300.6933385,1,-0.214040374,174.6885572
13/11/2015 5:00,-49.01860294,25.27209,29.81953,29.89339667,301.042746,1,0.566176236,176.0604698
13/11/2015 5:30,-50.07053676,25.58704667,29.83033,29.83813333,301.2548903,1,-0.032231596,183.2811388
13/11/2015 6:00,-60.83563235,25.51003,29.80292333,29.89403667,301.0356902,2,0.171465433,218.7765292
13/11/2015 6:30,-63.25979902,25.26219667,NA,29.92835667,300.8724902,1,-0.237932321,198.4782117
13/11/2015 7:00,-61.30878922,25.21053667,NA,29.88209667,300.7778834,1,1.424493229,160.5170988
13/11/2015 7:30,-53.48333578,25.10909667,NA,29.87022333,300.7044868,2,-0.270372959,219.7101636
13/11/2015 8:00,-23.42184191,25.53763,NA,29.84398,301.1494557,1,0.145464924,179.5975194
13/11/2015 8:30,23.62093039,26.37083,NA,29.83901,301.7505221,1,0.449774312,163.3031103
13/11/2015 9:00,154.7887108,27.37583,NA,29.87767,302.6784664,2,-0.573550403,116.2381866
13/11/2015 9:30,256.3297794,27.65089333,NA,29.96410667,302.7117374,1,0.059892912,70.80913787
13/11/2015 10:00,362.0736765,28.46039333,29.78232,30.00159667,303.3383918,1,3.018736667,324.1641669
13/11/2015 10:30,167.7764461,28.61364667,29.98418667,29.99461333,303.5874198,1,2.533512404,277.2410259
13/11/2015 11:00,105.1758211,27.10846,29.91594,29.94701333,302.161141,1,-0.320367127,232.30081
13/11/2015 11:30,31.84069343,25.72579667,29.89575333,29.91542667,301.4464454,1,-0.29183866,222.3823186
13/11/2015 12:00,283.6789706,26.75306667,29.92565333,29.95176333,302.3587149,1,-1.898660245,225.9189088
13/11/2015 12:30,289.5047549,27.37801667,29.95870667,29.96498667,302.7417518,1,0.079079963,232.5763644
13/11/2015 13:00,271.3605882,27.81784333,30.00877667,29.99286,303.1052465,1,0.379252868,250.0787045
13/11/2015 13:30,647.959951,28.4738,30.04385667,30.0317,303.9287391,1,4.67165061,291.0606242
13/11/2015 14:00,441.8317402,NA,30.10991333,30.07452667,305.044625,2,-0.078949892,295.6583667
13/11/2015 14:30,484.4781127,NA,30.17126667,30.10931333,305.2851454,1,0.261038258,277.7275954
13/11/2015 15:00,551.2024265,NA,30.22340667,30.14250333,305.3822215,1,-0.110935979,290.5495116
13/11/2015 15:30,625.3336765,NA,30.35079667,NA,305.5223453,1,-0.358253236,227.7142671
13/11/2015 16:00,523.674902,NA,30.49355333,NA,305.384676,1,-0.002320393,179.8210633
13/11/2015 16:30,396.3565931,NA,30.58443,NA,305.3991633,1,0.242909989,238.2383414
13/11/2015 17:00,265.871152,NA,30.55085,NA,305.0601132,2,-0.165844453,232.1631604
13/11/2015 17:30,NA,NA,NA,NA,NA,NA,NA,NA
13/11/2015 18:00,41.86928922,27.97104667,30.70208667,NA,303.7996218,1,0.064690053,278.7315727
13/11/2015 18:30,NA,NA,NA,NA,NA,NA,NA,NA
13/11/2015 19:00,NA,NA,NA,NA,303.1570066,1,0.134533009,240.3711975
13/11/2015 19:30,-45.68660539,27.01886667,NA,NA,302.658975,1,0.150997805,212.2358973
13/11/2015 20:00,-47.67947794,26.96139333,NA,NA,302.5697101,1,0.147459426,213.4134606
13/11/2015 20:30,-42.58776961,26.75058667,NA,NA,302.3127813,1,0.039332988,211.2190437
13/11/2015 21:00,-33.94308088,27.08681667,NA,NA,302.9702943,1,0.479937742,208.7224986
13/11/2015 21:30,-21.51366912,27.90264667,30.10333333,NA,303.6358014,1,-1.237726789,101.3065144
13/11/2015 22:00,-28.18058578,27.58223333,30.19812667,NA,303.3264283,1,0.644683767,175.0190477
13/11/2015 22:30,-38.18048039,27.36236,30.17587333,NA,303.0266991,1,0.472032686,212.5496576
13/11/2015 23:00,-39.32684314,27.02038667,30.13448333,NA,302.8341383,2,-0.209090798,159.9877731
13/11/2015 23:30,-39.54345588,27.08185667,30.11043333,30.13967333,302.869194,1,-0.115180634,211.7059945
14/11/2015 0:00,-37.12124265,27.11642,30.12965,30.15118333,302.9359649,1,1.526776067,189.7177048
14/11/2015 0:30,-43.25854902,27.17234667,30.12112,30.13342667,302.9538498,1,0.43298551,193.9792406
14/11/2015 1:00,-47.1498652,27.08986333,30.06564333,30.10885,302.7207398,1,0.337423317,205.0655587
14/11/2015 1:30,-47.1357451,27.43247,30.02599333,30.06986,303.0592397,1,-0.01888843,182.7057882
14/11/2015 2:00,-47.47599755,27.05274333,29.99239333,30.02736667,302.6625051,1,0.806186679,189.6131389
14/11/2015 2:30,-46.53846078,27.35446667,29.99791,30.02693,303.0124259,1,-0.482330889,129.471503
14/11/2015 3:00,-46.78575,27.25020333,29.95972,29.98794667,302.7689696,1,-0.286897704,126.7881363
14/11/2015 3:30,-45.18036029,27.52246333,29.90938333,29.93981333,302.9089073,1,-0.327109428,75.32322248
14/11/2015 4:00,-53.16254657,26.60636,29.91859,29.94514667,301.9755143,1,0.107726134,225.4442144
14/11/2015 4:30,-53.06130392,26.16957333,29.88928333,29.91512333,301.8015828,1,0.19245961,207.0240932
14/11/2015 5:00,-53.11581373,26.35473333,29.83352,29.86915667,301.8653365,1,-0.128702842,176.9725954
14/11/2015 5:30,-53.24432843,26.00472333,29.78167333,29.82483333,301.5607203,1,0.182514105,180.267191
14/11/2015 6:00,-52.46206618,25.79270333,29.64240667,29.73014,301.3870611,1,0.004327912,205.1129503
14/11/2015 6:30,-51.90617157,25.77131667,29.60882333,29.73777,301.4309687,2,0.051405937,207.5753985
14/11/2015 7:00,-53.58312255,25.7109,NA,29.73625667,301.4207453,1,2.484906042,137.7782922
14/11/2015 7:30,-47.37085539,25.72641667,NA,29.73872667,301.4171544,2,0.117565082,342.1457732
14/11/2015 8:00,-19.8513223,26.06310333,NA,29.72844667,301.7391536,1,-0.049409845,340.4463959
14/11/2015 8:30,86.66895061,27.33528333,NA,29.68837333,302.4519945,1,0.037561954,168.3717786
14/11/2015 9:00,190.6078431,27.88523,NA,29.47212667,302.7464882,2,-1.075947693,93.06370982
14/11/2015 9:30,324.5653431,27.99279333,31.87485,29.71858333,303.280205,1,0.611171935,51.91595127
